descricao,data,web,produtos,cpfSolicitante
Pedido 1,2023-10-10T12:30,true,"3,6,10,33",666.395.597-73
Pedido 2,2023-10-10T12:30,false,20,256.382.736-11
Pedido 3,2023-10-10T12:30,true,"1,11,21",627.011.240-00
Pedido 4,2023-10-10T12:30,false,"1,2,4,25,26",186.033.558-60
Pedido 5,2023-10-10T12:30,true,"1,3,3,6,17",203.599.258-39
Pedido 6,2023-10-10T12:30,false,"7,10,11,20,30",054.202.451-91
Pedido 7,2023-10-10T12:30,true,"4,7,6,27",775.007.216-09
Pedido 8,2023-10-10T12:30,false,"6,6,10,11,14",929.204.815-50
Pedido 9,2023-10-10T12:30,true,"15,16,31,32",524.620.629-71
Pedido 10,2023-10-10T12:30,false,33,943.861.323-41
